task,window_type,window_value,feature_set,model,metric,mean,se,N_used
reach,k,120,interaction_full,OLS,mae,0.3799000939868692,0.006307838693026527,2281
veracity,k,180,baseline,logit,auc,0.6093899015800759,0.012429906199152326,2281
reach,k,180,baseline,OLS,r2,0.6123939756294428,0.011321033707408426,2281
reach,k,180,baseline,OLS,mae,0.3507458937309438,0.004905109964487005,2281
veracity,k,180,structure_only,logit,auc,0.5616343301043106,0.020901958684243167,2281
reach,k,180,structure_only,OLS,r2,0.310045007887621,0.0725820560176248,2281
reach,k,180,structure_only,OLS,mae,0.4919830868548029,0.027863744395758654,2281
veracity,k,180,full,logit,auc,0.6078849365322334,0.014739235205476332,2281
reach,k,180,full,OLS,r2,0.7193725515051558,0.013194083381202695,2281
reach,k,180,full,OLS,mae,0.282934526381342,0.006752614782776663,2281
veracity,k,180,interaction_full,logit,auc,0.6102043832600597,0.01538820010127878,2281
reach,k,180,interaction_full,OLS,r2,0.7187970907573644,0.013013215029210578,2281
reach,k,180,interaction_full,OLS,mae,0.2837081095012185,0.0063991579725418005,2281
